Date,Open Interest,Open,High,Low,Close,Volume,Long Short Ratio
2021-05-25,9376,38795.78125,39776.351563,36581.429688,38402.222656,56211915803,0.8466642967176206
2021-06-01,7602,37293.792969,37896.734375,35787.085938,36684.925781,34639423297,0.8275403046886555
2021-06-08,7948,33589.519531,34017.386719,31114.443358999997,33472.632813,49902050442,0.843045512547852
2021-06-15,7823,40427.167969,41295.269531,39609.46875,40406.269531,46420149185,0.8350427350427351
2021-06-22,8344,31622.376952999995,33292.453125,28893.621094,32505.660156,58964353058,0.858734039663135
2021-06-29,7004,34475.558594,36542.109375,34252.484375,35867.777344,37901460044,0.8669269562388157
2021-07-06,7138,33723.507813,35038.535156,33599.917969,34235.195313,26501259870,0.8665398636867966
2021-07-13,7418,33125.46875,33327.101563,32261.419922000005,32702.025391000003,19120856669,0.8868529546495648
2021-07-20,8642,30838.285156,31006.1875,29360.955077999995,29807.347656,23148267245,0.91
2021-07-27,8079,37276.035156,39406.941406,36441.726563,39406.941406,35097370560,0.8689360529217199
2021-08-03,6559,39178.402344,39750.03125,37782.050781,38152.980469,26189830450,0.8559484410381467
2021-08-10,6954,46280.847656,46637.988281,44705.554688,45585.03125,33546019517,0.8350751143043762
2021-08-17,7552,45936.457031,47139.570313,44512.417969,44695.359375,33451362600,0.8442376950780313
2021-08-24,7736,49562.347656,49878.769531,47687.117188,47706.117188,35361168834,0.8360058309037901
2021-08-31,6509,47024.339844,48189.550781,46750.09375,47166.6875,34730363427,0.8035350101971448
2021-09-07,6854,52660.480469,52853.765625,43285.207031,46811.128906,65210059683,0.8039948035076323
2021-09-14,6844,44960.050781,47218.125,44752.332031,47092.492188,38652152880,0.8202802967848309
2021-09-21,7647,43012.234375,43607.609375,39787.609375,40693.675781,48701090088,0.8540395774438327
2021-09-28,7234,42200.898438,42775.144531,40931.664063,41034.542969,30214940550,0.8904323396285313
2021-10-05,9037,49174.960938,51839.984375,49072.839844,51514.8125,35873904236,0.8831644487852521
2021-10-12,11089,57526.83203099999,57627.87890599999,54477.97265599999,56041.05859400001,41083758949,0.9150320354854609
2021-10-19,13872,62043.164063,64434.53515599999,61622.93359400001,64261.992188,40471196346,0.7939248601119104
2021-10-26,16938,63032.76171900001,63229.02734400001,59991.16015599999,60363.79296900001,34878965587,0.7600806451612904
2021-11-02,13696,60963.25390599999,64242.79296900001,60673.054688,63226.40234400001,37746665647,0.9070343972730089
2021-11-09,14010,67549.734375,68530.335938,66382.0625,66971.828125,42357991721,0.9047329173641759
2021-11-16,13879,63721.195313,63721.195313,59016.335938,60161.24609400001,46844335592,0.9123416743898671
2021-11-23,14623,56304.554688,57875.515625,55632.76171900001,57569.07421900001,37485803899,1.0464159811985898
2021-11-30,13417,57830.11328099999,59113.40234400001,56057.28125,57005.42578099999,36708594618,0.9187082405345212
2021-12-07,13601,50581.828125,51934.78125,50175.808594,50700.085938,33676814852,0.9368006304176517
2021-12-14,13945,46709.824219,48431.398438,46424.496094,46612.632813,34638619079,0.9594678699237591
2021-12-21,13269,46886.078125,49300.917969,46698.773438,48936.613281,27055803928,0.9311129163281885
2021-12-28,12904,50679.859375,50679.859375,47414.210938,47588.855469,33430376883,0.9351513136015963
2022-01-04,10909,46458.851563,47406.546875,45752.464844,45897.574219,42494677905,0.9305968669442792
2022-01-11,11334,41819.507813,43001.15625,41407.753906,42735.855469,26327648900,0.9458681255398791
2022-01-18,12020,42250.074219,42534.402344,41392.214844,42375.632813,22417209227,0.9500763221693455
2022-01-25,12584,36654.804688,37444.570313,35779.429688,36954.003906,26428189594,0.9591094169626614
2022-02-01,10342,38481.765625,39115.132813,38113.664063,38743.273438,20288500328,0.9611352324473155
2022-02-08,10218,43854.652344,45293.867188,42807.835938,44118.445313,33079398868,0.9436497615951452
2022-02-15,11007,42586.464844,44667.21875,42491.035156,44575.203125,22721659051,0.95628360884286
2022-02-22,11497,37068.769531,38359.855469,36488.933594,38286.027344,25493150450,0.952201731275875
2022-03-01,10210,43194.503906,44793.601563,42952.585938,44354.636719,32479047645,0.9545647558386412
2022-03-08,9931,38059.902344,39304.441406,37957.386719,38737.269531,25776583476,0.9839507529954931
2022-03-15,10551,39664.25,39794.628906,38310.210938,39338.785156,23934000868,0.9730284073428367
2022-03-22,11587,41074.105469,43124.707031,40948.28125,42358.808594,32004652376,0.95438531429631
